시도명,시군구명,학교명,설치위치,설치년도,관리기관명,관리기관전화번호,데이터기준일
서울특별시,강남구,일원초등학교,학교정문 옆,2019,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,자곡초등학교,학교정문 앞,2019,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,대진초등학교,학교정문 앞,2019,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,논현초등학교,학교정문 옆,2019,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,대왕초등학교,학교정문 옆,2019,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,구룡초등학교,학교정문 옆,2019,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,개일초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,대도초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,대청초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,대모초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,삼릉초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,수서초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,신구초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,왕북초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,언주초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,영희초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,율현초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,청담초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,세명초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,언북초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,도성초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,포이초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,대치초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,압구정초등학교,학교정문 옆,2020,서울특별시 강남구청,02-3423-6402,2021-07-09
