설치위치,도로명주소,설치연도
신우초등학교,서울특별시 관악구 호암로 498,2015
청룡초등학교,서울특별시 관악구 관악로5길 61,2016
미성초등학교 학교정문 맞은편,서울특별시 관악구 문성로 79,2017
미성초교 (라이프아파트 입구),서울특별시 관악구 문성로 82 ,2017
봉현초등학교(학교정문앞 횡단도보),서울특별시 관악구 성현로 117,2017
봉현초등학교(입구삼거리 104동 맞은편),서울특별시 관악구 성현로 117 ,2017
구암초등학교,서울특별시 관악구 구암길 1,2017
조원초등학교,서울특별시 관악구 조원로 67,2017
난곡초등학교,서울특별시 관악구 난곡로35길 102,2017
원당초등학교,서울특별시 관악구 봉천로 505 ,2017
원신초등학교(입구 삼거리),서울특별시 관악구 광신길 177 ,2017
봉현초등학교(108동 맞은편),서울특별시 관악구 성현로 117 ,2017
난향초등학교,서울특별시 관악구 난향길 9,2017
사당초등학교 학교북문 앞,서울특별시 관악구 남현4길 51,2018
"봉현초교 (학교정문 맞은편, 동아아파트 106동앞)",서울특별시 관악구 성현로 117 ,2018
봉현초교(107동 앞),서울특별시 관악구 성현로 117 ,2018
관악노인종합복지관1,서울특별시 관악구 보라매로 35,2018
관악노인종합복지관2,서울특별시 관악구 보라매로 35,2018
관악구민종합체육센터,서울특별시 관악구 낙성대로3길 37,2018
구암초등학교,서울특별시 관악구 구암길 1,2019
