설치연도,설치장소,설치개소,도로명주소,지번주소,위도,경도
2016,온수초,1,서울특별시 구로구 부일로 893,서울특별시 구로구 온수동 9-34,37.4940050583,126.8259666803
2017,오류남초,1,서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,37.4896865179,126.8391127262
2017,덕의초,1,서울특별시 구로구 고척로 213,서울특별시 구로구 고척동 287-8,37.5060279654,126.8573460295
2017,구일초,2,서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,37.4931918730,126.8734727090
2017,신도림초,1,서울특별시 구로구 신도림로19길 44,서울특별시 구로구 신도림동 302-65,37.5119843897,126.8832545502
2017,고산초,1,서울특별시 구로구 중앙로 6,서울특별시 구로구 고척동 76-380,37.4989725505,126.8647727091
2018,구로초,1,서울특별시 구로구 구로중앙로27나길 9,서울특별시 구로구 구로동 443,37.4974618736,126.8865542735
2018,세곡초,2,서울특별시 구로구 고척로33길 34,서울특별시 구로구 고척동 253-129,37.5050561026,126.8491198348
2018,동구로초,2,서울특별시 구로구 구로중앙로14길 43,서울특별시 구로구 구로동 93,37.4940705339,126.8927801947
2019,미래초,1,서울특별시 구로구 새말로 73,서울특별시 구로구 구로동 556-1,37.5051066487,126.8880802640
2019,신구로초,1,서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,37.4996600321,126.8897631295
2019,천왕초,2,서울특별시 구로구 천왕로1길 11,서울특별시 구로구 천왕동 273-2,37.4814559796,126.8370629317
2019,정진학교,1,서울특별시 구로구 부일로9길 158,서울특별시 구로구 궁동 258-4,37.4988144872,126.8207519022
2019,고원초,1,서울특별시 구로구 경인로46길 13,서울특별시 구로구 고척동 66-26,37.4976112203,126.8657992701
2019,매봉초,1,서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉동 7-37,37.5049152339,126.8443652972
2019,신미림초,1,서울특별시 구로구 신도림로 26,서울특별시 구로구 신도림동 398-28,37.5071419203,126.8795527403
2019,영서초,1,서울특별시 구로구 도림로20길 57,서울특별시 구로구 구로동 179-151,37.4889608209,126.8955833396
2019,하늘숲초,3,서울특별시 구로구 오리로 1106,서울특별시 구로구 천왕동 산 13-1,37.4841594284,126.8414819972
2020,항동초,2,서울특별시 구로구 연동로 178,서울특별시 구로구 항동 160,37.4770158900,126.8241102684
2020,구로남초,1,서울특별시 구로구 디지털로27길 76,서울특별시 구로구 구로동 253,37.4842060247,126.8902182029
2020,LG전자구로어린이집,1,서울특별시 구로구 가마산로 95,서울특별시 구로구 구로동 701-186,37.4860712347,126.8769042511
2020,코레일오류동어린이집,1,서울특별시 구로구 경인로20가길 24,서울특별시 구로구 오류동 66,37.4954835157,126.8453292255
2020,오류남초,1,서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,37.4896865179,126.8391127262
2020,오정초,1,서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류동 108-28,37.4901656647,126.8264391944
2020,매봉초,1,서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉동 7-37,37.5049152339,126.8443652972
